countynum,countyname,sampsize,popsize,radon
1,Aitkin,4,5400,1
1,Aitkin,4,5400,2.2
1,Aitkin,4,5400,2.2
1,Aitkin,4,5400,2.9
2,Anoka,57,71900,2.4
2,Anoka,57,71900,0.5
2,Anoka,57,71900,4.2
2,Anoka,57,71900,1.8
2,Anoka,57,71900,2.5
2,Anoka,57,71900,5.4
2,Anoka,57,71900,2.2
2,Anoka,57,71900,4
2,Anoka,57,71900,1.1
2,Anoka,57,71900,1.5
2,Anoka,57,71900,5.4
2,Anoka,57,71900,6.3
2,Anoka,57,71900,1
2,Anoka,57,71900,1.9
2,Anoka,57,71900,1.7
2,Anoka,57,71900,0.7
2,Anoka,57,71900,1.1
2,Anoka,57,71900,6.6
2,Anoka,57,71900,3.1
2,Anoka,57,71900,2.3
2,Anoka,57,71900,1.4
2,Anoka,57,71900,2.9
2,Anoka,57,71900,2.9
2,Anoka,57,71900,3.1
2,Anoka,57,71900,1.9
2,Anoka,57,71900,4.5
2,Anoka,57,71900,6.8
2,Anoka,57,71900,1.3
2,Anoka,57,71900,0.6
2,Anoka,57,71900,1.2
2,Anoka,57,71900,1.4
2,Anoka,57,71900,1.8
2,Anoka,57,71900,7
2,Anoka,57,71900,3.3
2,Anoka,57,71900,1.2
2,Anoka,57,71900,7.7
2,Anoka,57,71900,5.2
2,Anoka,57,71900,4.5
2,Anoka,57,71900,2.1
2,Anoka,57,71900,4.4
2,Anoka,57,71900,2.9
2,Anoka,57,71900,5.9
2,Anoka,57,71900,1.8
2,Anoka,57,71900,2.2
2,Anoka,57,71900,3.3
2,Anoka,57,71900,2.8
2,Anoka,57,71900,0.5
2,Anoka,57,71900,1.1
2,Anoka,57,71900,8.1
2,Anoka,57,71900,1.7
2,Anoka,57,71900,1.4
2,Anoka,57,71900,1.6
2,Anoka,57,71900,9.6
2,Anoka,57,71900,6.7
2,Anoka,57,71900,3.5
2,Anoka,57,71900,1.7
2,Anoka,57,71900,7.4
3,Becker,4,11000,1.2
3,Becker,4,11000,4.3
3,Becker,4,11000,4.5
3,Becker,4,11000,2.7
4,Beltrami,7,11500,0.5
4,Beltrami,7,11500,6.3
4,Beltrami,7,11500,4.6
4,Beltrami,7,11500,1.5
4,Beltrami,7,11500,2.4
4,Beltrami,7,11500,4.6
4,Beltrami,7,11500,5.7
5,Benton,4,9500,2.7
5,Benton,4,9500,6.6
5,Benton,4,9500,2.9
5,Benton,4,9500,2.9
6,Big Stone,3,2900,7.2
6,Big Stone,3,2900,5
6,Big Stone,3,2900,2.6
7,Blue Earth,14,18600,1.8
7,Blue Earth,14,18600,6.9
7,Blue Earth,14,18600,5
7,Blue Earth,14,18600,13
7,Blue Earth,14,18600,7.2
7,Blue Earth,14,18600,6.8
7,Blue Earth,14,18600,4.7
7,Blue Earth,14,18600,12.8
7,Blue Earth,14,18600,5.8
7,Blue Earth,14,18600,2
7,Blue Earth,14,18600,9.5
7,Blue Earth,14,18600,3.8
7,Blue Earth,14,18600,14.3
7,Blue Earth,14,18600,4.6
8,Brown,4,10200,2.5
8,Brown,4,10200,6.7
8,Brown,4,10200,4
8,Brown,4,10200,10.1
9,Carlton,11,10500,0.8
9,Carlton,11,10500,1.3
9,Carlton,11,10500,4.2
9,Carlton,11,10500,2.2
