     GMT,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24

1/1/94,    ,19,16,15,16,18,17,17,17,17,18,18,19,20,19,19,20,18,21,23,20,23,    ,26
2/1/94,21,16,9,6,9,9,9,7,9,16,15,24,25,19,20,21,20,21,22,23,26,28,    ,28
3/1/94,26,23,23,26,26,27,28,25,26,29,28,29,29,29,29,20,16,13,18,26,28,28,    ,28
4/1/94,28,23,21,21,25,26,27,25,22,21,19,17,15,15,14,12,12,13,9,9,10,13,    ,20
5/1/94,18,16,18,22,27,25,24,23,20,7,8,20,21,18,19,22,26,23,25,25,24,26,    ,25
6/1/94,23,22,24,27,28,27,27,25,22,20,19,18,15,15,12,9,13,14,14,16,18,17,    ,19
7/1/94,25,28,30,31,30,34,33,31,31,29,28,27,27,25,25,22,24,14,14,15,16,9,    ,14
8/1/94,15,8,9,9,8,8,9,12,13,13,13,15,20,21,20,17,17,18,17,16,14,12,    ,9
9/1/94,9,7,6,8,11,15,16,15,16,18,23,27,25,26,25,25,24,20,18,20,21,20,    ,31
10/1/94,37,36,37,35,33,34,33,28,21,21,20,23,28,31,24,20,17,17,16,14,14,12,    ,10
11/1/94,10,9,11,13,12,9,6,7,10,12,12,13,14,15,16,19,24,21,30,31,30,30,    ,28
12/1/94,27,30,30,28,29,29,30,31,32,32,34,    ,34,33,34,33,31,32,29,31,33,32,33,32
13/01/94,32,30,30,29,28,29,29,30,30,31,30,30,30,30,30,30,31,30,30,29,30,31,32,32
14/01/94,33,31,28,27,27,28,28,32,32,31,29,29,27,27,24,23,24,23,21,22,23,22,21,22
15/01/94,20,20,24,27,20,20,15,17,21,13,16,22,25,24,25,26,24,25,22,20,19,23,26,24
16/01/94,22,22,22,25,26,27,26,25,24,20,15,17,22,30,28,29,30,32,31,31,30,28,32,34
17/01/94,34,32,32,32,32,30,27,27,29,25,21,19,25,25,26,20,21,21,17,20,24,26,27,28
18/01/94,29,27,24,27,27,27,29,29,29,30,30,29,29,29,28,28,28,28,28,30,34,35,35,32
19/01/94,31,29,28,28,30,30,29,27,27,28,30,30,30,31,29,29,27,27,26,26,26,27,28,27
20/01/94,27,27,27,27,28,27,26,30,29,24,26,27,29,29,28,28,31,33,33,29,26,25,27,31
21/01/94,29,29,30,31,31,32,32,33,32,31,30,29,28,33,35,36,33,35,37,34,33,31,30,30
22/01/94,28,28,28,29,30,30,32,33,33,33,33,32,34,34,33,35,31,29,31,32,32,33,33,35
23/01/94,35,35,32,35,36,34,35,34,34,33,34,33,34,33,33,33,33,33,33,34,34,33,34,33
24/01/94,33,27,28,30,28,27,25,24,21,19,19,20,22,22,24,25,29,25,22,17,18,18,17,18
25/01/94,23,26,26,28,32,35,36,38,35,34,32,32,32,36,36,36,36,33,33,33,31,31,31,30
26/01/94,35,35,36,37,35,34,34,34,34,34,31,28,28,28,30,33,32,33,34,35,35,38,39,38
27/01/94,38,36,37,36,37,38,37,36,36,36,35,35,36,35,35,35,37,37,35,34,33,33,32,32
28/01/94,32,34,33,33,33,34,35,35,35,36,37,36,36,35,35,35,33,32,32,32,31,26,22,20
29/01/94,16,18,24,24,22,26,26,23,21,24,27,29,29,29,29,29,29,30,30,29,29,31,35,35
30/01/94,36,35,34,34,37,38,37,36,35,35,35,34,35,35,35,35,35,35,35,35,30,26,27,30
31/01/94,30,30,29,30,29,29,30,30,30,33,34,34,35,35,35,33,33,34,32,32,31,32,34,33
1/2/94,32,32,32,33,34,35,34,35,35,36,35,36,37,37,34,36,37,38,37,37,38,37,36,36
2/2/94,37,36,31,33,33,29,31,30,30,30,28,27,25,31,32,33,31,32,26,24,24,21,18,17
3/2/94,18,20,17,3,6,14,27,30,30,30,31,31,31,30,28,25,26,29,28,26,22,19,14,11
4/2/94,9,14,17,20,20,22,23,23,23,22,21,22,23,20,19,20,17,15,14,14,13,14,15,15
5/2/94,16,18,23,26,26,24,24,24,22,20,16,14,14,13,20,23,26,28,24,26,28,28,30,31
6/2/94,30,27,24,21,23,27,29,29,29,30,28,27,30,33,37,38,37,35,34,27,25,26,24,26
7/2/94,21,18,18,20,22,26,27,25,26,33,34,34,36,36,35,34,33,31,30,32,29,28,27,23
8/2/94,22,22,24,25,26,25,28,28,26,29,30,31,33,35,36,26,22,25,29,38,38,35,33,34
9/2/94,33,35,32,37,38,38,38,40,41,40,39,38,37,36,37,33,32,32,33,32,33,31,29,26
10/2/94,17,18,13,10,9,11,13,16,12,13,12,13,25,30,28,27,25,18,15,10,10,13,12,15
11/2/94,20,15,13,12,10,7,4,4,8,12,13,10,10,11,14,13,15,13,13,12,12,12,13,11
12/2/94,12,12,12,14,20,19,17,19,19,20,19,19,20,19,20,18,15,13,12,12,13,11,11,16
13/02/94,17,20,24,20,19,20,27,28,28,31,31,31,32,31,27,32,35,35,36,36,35,37,38,38
14/02/94,38,38,38,37,35,36,36,35,32,30,29,28,28,29,29,29,33,32,31,33,33,33,33,33
15/02/94,33,32,32,30,29,29,29,29,30,30,28,27,25,24,22,20,16,11,6,6,9,6,3,5
16/02/94,5,6,7,6,6,6,7,8,12,16,20,25,31,33,30,27,22,22,17,16,17,17,17,20
17/02/94,22,22,21,18,17,17,17,17,20,20,20,21,23,27,27,24,22,22,19,16,9,8,7,8
18/02/94,13,15,12,7,4,6,13,15,17,17,13,13,16,23,21,19,17,12,10,8,7,5,4,4
19/02/94,4,3,4,3,4,5,7,11,13,16,17,19,18,13,12,5,2,3,5,4,9,17,16,16
20/02/94,16,16,22,31,34,31,34,35,34,35,34,35,36,36,36,36,36,35,34,37,36,35,33,33
21/02/94,34,32,31,32,29,28,28,26,26,32,35,34,34,34,36,37,37,39,38,37,35,34,31,28
22/02/94,33,33,36,36,30,31,29,30,31,34,36,37,38,39,38,39,38,38,37,32,29,22,20,28
23/02/94,31,32,32,33,34,35,35,34,35,34,34,36,37,37,35,32,33,36,36,33,33,32,36,32
24/02/94,33,35,37,36,35,33,33,34,34,35,40,42,43,43,43,40,39,35,32,31,29,27,27,27
25/02/94,28,28,24,25,24,25,28,31,34,33,34,34,35,34,35,27,29,33,34,35,37,36,33,29
26/02/94,27,26,25,22,19,16,15,14,12,12,14,15,16,18,19,16,9,10,15,13,15,16,21,23
27/02/94,19,16,15,15,13,9,6,6,4,4,3,5,6,8,7,9,10,12,12,14,15,16,15,15
28/02/94,15,16,16,15,14,14,14,15,21,23,23,22,22,23,23,23,23,23,22,24,23,24,21,19
1/3/94,13,12,12,12,12,8,7,6,7,13,13,17,21,27,30,27,28,26,27,28,26,29,27,23
2/3/94,24,22,19,18,21,21,23,27,28,29,32,29,34,38,36,36,35,32,30,28,33,33,33,33
3/3/94,33,34,39,42,43,45,43,43,41,38,38,36,39,38,38,36,35,33,33,34,35,31,32,31
4/3/94,26,25,26,26,28,28,28,32,33,34,36,35,33,32,33,34,32,32,31,30,29,28,27,26
5/3/94,27,27,29,29,31,33,35,34,40,45,45,45,45,45,43,40,39,39,42,39,39,38,39,37
6/3/94,36,36,35,36,37,35,36,37,39,39,38,37,36,36,36,36,36,36,35,35,34,34,34,33
7/3/94,33,38,40,40,39,39,40,39,39,38,38,41,40,    ,31,32,29,28,28,27,26,25,23,21
8/3/94,21,23,24,24,24,22,21,23,23,25,21,23,25,25,24,31,44,40,37,36,37,37,35,36
9/3/94,35,36,37,38,36,37,36,35,34,36,37,38,41,43,43,42,40,37,38,35,41,39,42,41
10/3/94,41,44,45,45,45,44,43,43,36,37,38,38,35,36,35,36,36,34,31,33,35,35,33,32
11/3/94,32,33,33,34,34,34,43,46,43,41,44,43,43,41,40,40,40,39,38,35,35,34,33,34
12/3/94,37,35,36,37,37,36,36,36,36,35,35,37,39,40,39,40,43,45,41,38,35,34,33,37
13/03/94,36,38,41,41,44,47,47,46,44,41,45,43,40,38,37,36,39,41,40,39,42,42,38,32
14/03/94,32,34,37,36,37,37,37,37,40,40,42,42,40,39,39,37,37,37,34,36,36,36,35,33
15/03/94,32,33,29,31,30,34,35,30,33,36,38,42,44,45,43,41,39,40,41,43,39,40,40,41
16/03/94,39,36,40,38,39,37,37,40,40,41,42,43,43,45,46,46,43,42,44,44,43,39,38,38
17/03/94,37,39,39,39,37,38,37,37,35,37,38,38,37,38,39,38,38,38,37,34,32,34,34,37
18/03/94,33,34,32,36,36,33,34,33,34,31,34,34,37,40,41,39,39,41,41,40,40,44,44,43
19/03/94,41,42,43,42,40,43,42,39,39,39,40,40,40,42,42,41,40,41,38,38,39,40,37,39
20/03/94,41,40,38,38,33,29,29,31,33,32,34,41,43,42,43,42,39,35,37,37,37,37,36,35
21/03/94,35,35,35,36,35,34,32,33,36,38,37,38,38,38,39,40,36,26,26,31,35,39,40,39
22/03/94,42,39,39,40,39,38,36,34,33,34,35,34,34,36,36,35,34,31,31,28,25,24,24,26
23/03/94,29,28,27,25,24,25,28,26,27,25,26,25,34,45,49,45,44,43,43,44,43,43,43,42
24/03/94,41,39,40,39,38,39,37,37,37,39,40,42,43,43,43,43,43,42,41,39,36,35,33,35
25/03/94,32,31,33,33,33,33,36,36,39,40,42,43,43,43,41,38,36,36,33,36,39,37,38,36
26/03/94,29,29,24,27,24,26,27,35,35,42,44,44,43,41,43,43,42,40,37,24,20,19,17,19
27/03/94,20,21,19,18,17,15,16,18,22,28,31,33,34,33,33,31,29,29,29,30,31,40,41,41
28/03/94,39,37,37,35,38,37,39,41,40,42,40,39,38,39,39,38,38,33,38,41,40,43,41,39
29/03/94,39,39,39,43,43,42,39,37,37,38,38,39,39,40,41,41,41,40,38,38,37,36,35,35
30/03/94,32,26,29,36,39,35,28,29,24,25,25,29,33,38,41,36,33,34,37,42,53,52,50,48
31/03/94,44,43,43,44,44,44,44,44,44,44,43,43,43,43,41,41,42,43,44,44,45,43,39,35
1/4/94,33,32,32,39,38,36,36,38,39,40,41,41,41,41,40,39,39,40,41,39,39,38,39,41
2/4/94,44,44,43,40,41,40,40,43,42,40,41,42,42,41,42,42,40,39,39,39,37,36,36,36
3/4/94,34,30,27,26,26,26,28,28,33,36,39,38,39,40,40,40,39,39,38,37,35,31,45,48
4/4/94,47,44,42,39,36,37,38,36,35,37,35,35,33,35,35,35,34,33,33,31,33,33,34,35
5/4/94,35,35,34,35,34,39,39,39,35,34,35,41,43,41,39,40,38,39,39,37,29,30,29,29
6/4/94,29,33,31,35,34,31,31,32,34,37,39,39,40,39,39,38,38,38,38,32,31,28,33,38
7/4/94,37,36,39,42,39,31,34,37,41,38,35,32,36,40,40,41,36,32,31,31,29,34,24,16
8/4/94,16,16,18,17,18,20,29,32,34,39,38,36,32,32,31,42,46,46,46,45,42,43,39,37
9/4/94,34,35,39,39,38,37,36,37,38,38,39,40,39,38,37,39,41,35,35,39,36,37,37,37
10/4/94,36,35,36,36,35,33,28,35,35,36,38,43,45,47,47,48,50,49,42,34,30,24,18,17
11/4/94,19,9,10,11,6,6,6,11,18,32,32,38,39,39,38,39,38,38,37,35,33,34,35,38
